gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size
EFNA2,-0.020481039917558008,0.3460411218273401,0.468,0.468,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
EIF1,0.049084607606489965,0.3409758488012637,0.549,0.45099999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
EIF2AK1,-0.0422934096385355,0.32956451737583553,0.442,0.442,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ELN,-0.00939603829628835,0.3144485863711479,0.495,0.495,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
EMP3,0.09044237835426303,0.32588167355435665,0.596,0.404,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
EPHA10,-0.011779513452556652,0.3214058266133193,0.476,0.476,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ERGIC3,-0.14987703448086767,0.32359382948398874,0.313,0.313,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
ERVV-2,0.011183999638366485,0.3304451377047305,0.504,0.496,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
EXO1,0.07116006424687842,0.32344862386130313,0.569,0.43100000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
F2RL3,0.017877706281542383,0.31603900286292463,0.522,0.478,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
F3,-0.09818151450938149,0.3022927499800265,0.369,0.369,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FAHD2B,-0.050984969336676525,0.33393962041840536,0.427,0.427,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FAM127C,0.0919525267043563,0.3273221858609688,0.605,0.395,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FAM186A,-0.06520355782917256,0.31612328873381296,0.433,0.433,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FAM189A1,-0.09212611469223862,0.3187494312882144,0.375,0.375,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FAM216A,-0.026434141253932997,0.34184229149713796,0.463,0.463,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
